production_companies_list,faturamento_total,faturamento_media,faturamento_menor,faturamento_maior,count,budget_total,budget_media,budget_menor,budget_maior
Contents Panda,138983303,46327767.666666664,8737458,87547518,3,25625000,8541666.666666666,125000,17000000
Sil-Metropole Organisation,138897193,34724298.25,632542,67091915,4,35409000,8852250.0,1549000,15000000
Four by Two,138805831,138805831.0,138805831,138805831,1,42000000,42000000.0,42000000,42000000
Gidden Media,138702450,69351225.0,4300000,134402450,2,38000000,19000000.0,10000000,28000000
Cinema 86,138530565,138530565.0,138530565,138530565,1,6000000,6000000.0,6000000,6000000
Moho Film,138443935,46147978.333333336,13085023,86758912,3,52775000,17591666.666666668,5000000,39200000
Ed Friendly Productions,138259062,138259062.0,138259062,138259062,1,40000000,40000000.0,40000000,40000000
Big Lou House Productions,138259062,138259062.0,138259062,138259062,1,40000000,40000000.0,40000000,40000000
Price,138241022,138241022.0,138241022,138241022,1,25000000,25000000.0,25000000,25000000
Oak Productions,138140809,69070404.5,840809,137300000,2,95500000,47750000.0,10500000,85000000
Cort/Madden Productions,138139360,69069680.0,6432551,131706809,2,52000000,26000000.0,13000000,39000000
Lauren Levine Productions Inc.,137587063,137587063.0,137587063,137587063,1,60000000,60000000.0,60000000,60000000
Vaughn Productions,137515140,137515140.0,137515140,137515140,1,70000000,70000000.0,70000000,70000000
Warp Films,137293564,45764521.333333336,3200000,127944208,3,64967686,21655895.333333332,967686,53000000
Lynch Siderow Productions,137061024,68530512.0,64282312,72778712,2,16000000,8000000.0,5000000,11000000
Illusion Entertainment,136943731,68471865.5,20300385,116643346,2,116000000,58000000.0,36000000,80000000
St. Tropez Films,136885767,136885767.0,136885767,136885767,1,45000000,45000000.0,45000000,45000000
Middle Fork Productions,136885767,136885767.0,136885767,136885767,1,45000000,45000000.0,45000000,45000000
Skylight Cinema Foto Art,136885767,136885767.0,136885767,136885767,1,45000000,45000000.0,45000000,45000000
Skylight Cinema Foto Art (US),136885767,136885767.0,136885767,136885767,1,45000000,45000000.0,45000000,45000000
Cinema Line Film Corporation,136885767,136885767.0,136885767,136885767,1,45000000,45000000.0,45000000,45000000
Arclight Films,136859285,34214821.25,2525738,127906624,4,116500000,29125000.0,3500000,55000000
BOOM! Studios,136737404,68368702.0,4796993,131940411,2,77000000,38500000.0,16000000,61000000
Technical Black,136706683,136706683.0,136706683,136706683,1,30000000,30000000.0,30000000,30000000
Run It Up Productions Inc.,136706683,136706683.0,136706683,136706683,1,30000000,30000000.0,30000000,30000000
C.O.R.E. Feature Animation,136538515,68269257.5,34200000,102338515,2,92300000,46150000.0,12300000,80000000
Turner Entertainment,136536687,136536687.0,136536687,136536687,1,50000000,50000000.0,50000000,50000000
Palomar Pictures,136529780,34132445.0,109130,57777106,4,208000000,52000000.0,16000000,100000000
Love Story Company,136400000,136400000.0,136400000,136400000,1,2200000,2200000.0,2200000,2200000
Canal+ Polska,136282398,45427466.0,911466,120072577,3,41159280,13719760.0,2159280,35000000
Saltire Entertainment,136159423,136159423.0,136159423,136159423,1,80000000,80000000.0,80000000,80000000
Sahara Productions,136130623,68065311.5,16861137,119269486,2,136500000,68250000.0,6500000,130000000
DNA Productions,136117361,68058680.5,55181129,80936232,2,75000000,37500000.0,25000000,50000000
Horizon Pictures,135903385,27180677.0,2400000,69995385,5,27110000,5422000.0,910000,15000000
Madhouse Entertainment,135843962,45281320.666666664,1900000,122126687,3,68000000,22666666.666666668,10000000,46000000
La Classe américaine,135561353,45187117.666666664,82264,133432856,3,32140746,10713582.0,4300000,15000000
Central Films,135330182,135330182.0,135330182,135330182,1,25000000,25000000.0,25000000,25000000
Babel Productions Inc.,135330182,135330182.0,135330182,135330182,1,25000000,25000000.0,25000000,25000000
Casablanca Filmworks,135000000,67500000.0,35000000,100000000,2,11300000,5650000.0,2300000,9000000
TVP,134944014,44981338.0,102986,120072577,3,41900000,13966666.666666666,1300000,35000000
DiC Entertainment,134400000,134400000.0,134400000,134400000,1,75000000,75000000.0,75000000,75000000
Baby Cow Productions,134350795,44783598.333333336,9800000,100129872,3,26000000,8666666.666666666,4000000,12000000
SND,134323825,16790478.125,5127426,36010829,8,164491361,20561420.125,5000000,86000000
Friendly Films (II),134265493,67132746.5,50650079,83615414,2,92000000,46000000.0,32000000,60000000
Jaffe-Lansing,134212055,134212055.0,134212055,134212055,1,30000000,30000000.0,30000000,30000000
Pegasus Film Partners,134212055,134212055.0,134212055,134212055,1,30000000,30000000.0,30000000,30000000
American International Pictures,133979275,14886586.111111112,1000000,100000000,9,25670000,2852222.222222222,200000,16000000
Heron Communications,133947988,33486997.0,9747988,49400000,4,25000000,6250000.0,3000000,13000000
Marcy Media,133821816,133821816.0,133821816,133821816,1,65000000,65000000.0,65000000,65000000
Sidley Wright & Associates,133752825,133752825.0,133752825,133752825,1,25000000,25000000.0,25000000,25000000
Taylor-Baldecchi-Wimmer Productions,133718711,133718711.0,133718711,133718711,1,105000000,105000000.0,105000000,105000000
Inferno Distribution,133564462,22260743.666666668,374743,77278331,6,86750000,14458333.333333334,4000000,25000000
Metrol Technology,132917309,16614663.625,4537,72600000,8,116900000,14612500.0,4500000,35000000
De Fina-Cappa,132912375,66456187.5,16800000,116112375,2,82000000,41000000.0,32000000,50000000
New World Pictures,132910862,9493633.0,1108462,19444631,14,41565000,2968928.5714285714,300000,7500000
Sorolla Films,132900000,132900000.0,132900000,132900000,1,97250400,97250400.0,97250400,97250400
Novo RPI,132900000,132900000.0,132900000,132900000,1,97250400,97250400.0,97250400,97250400
Tripictures,132900000,132900000.0,132900000,132900000,1,97250400,97250400.0,97250400,97250400
Robot Communications,132888456,66444228.0,49827298,83061158,2,47000000,23500000.0,12000000,35000000
Capitol Films,132596558,18942365.42857143,541840,56308881,7,121500000,17357142.85714286,7000000,27000000
kth,132575010,66287505.0,6591038,125983972,2,25580000,12790000.0,7280000,18300000
Nine Yards Productions,132527432,66263716.0,26155781,106371651,2,81300000,40650000.0,40000000,41300000
Fünfte Babelsberg Film,132511035,132511035.0,132511035,132511035,1,54000000,54000000.0,54000000,54000000
Rat Pack Filmproduktion,132368866,26473773.2,71085,77676735,5,40000000,8000000.0,2500000,14000000
Road Rebel,132212584,44070861.333333336,2995811,80547866,3,150000000,50000000.0,10000000,120000000
Movistar+,132208688,8813912.533333333,712229,30000000,15,111893354,7459556.933333334,3400000,38000000
Granada Productions,132184128,66092064.0,8800000,123384128,2,22000000,11000000.0,7000000,15000000
RKO Radio Pictures,132144900,6607245.0,1300000,24500000,20,23160727,1158036.35,134000,2500000
Empyre Media Capital,131940411,131940411.0,131940411,131940411,1,61000000,61000000.0,61000000,61000000
Oasis Entertainment,131940411,131940411.0,131940411,131940411,1,61000000,61000000.0,61000000,61000000
Czech Anglo Productions,131917316,32979329.0,3643591,82468705,4,119000000,29750000.0,14000000,45000000
Chicago Pacific Entertainment,131615907,65807953.5,60209334,71406573,2,70000000,35000000.0,20000000,50000000
Reperage & Vanguard Films,131457682,131457682.0,131457682,131457682,1,70000000,70000000.0,70000000,70000000
Applecross,131457682,131457682.0,131457682,131457682,1,70000000,70000000.0,70000000,70000000
Bewitched,131426169,131426169.0,131426169,131426169,1,85000000,85000000.0,85000000,85000000
BA Entertainment,131166120,43722040.0,25775371,52946454,3,13383687,4461229.0,1000000,6500000
Sor Productions,131095990,131095990.0,131095990,131095990,1,35000000,35000000.0,35000000,35000000
NEW Century,131095990,131095990.0,131095990,131095990,1,35000000,35000000.0,35000000,35000000
All Girl Productions,130881106,65440553.0,57041866,73839240,2,47000000,23500000.0,20000000,27000000
Panda Productions,130786397,130786397.0,130786397,130786397,1,30000000,30000000.0,30000000,30000000
Horticus UK,130786397,130786397.0,130786397,130786397,1,30000000,30000000.0,30000000,30000000
MMCB Film Produktion 2004,130628903,130628903.0,130628903,130628903,1,54000000,54000000.0,54000000,54000000
A Company,130482868,130482868.0,130482868,130482868,1,102000000,102000000.0,102000000,102000000
Cloud Atlas Productions,130482868,130482868.0,130482868,130482868,1,102000000,102000000.0,102000000,102000000
Tucker Tooley Entertainment,130343230,43447743.333333336,18160930,80509622,3,75500000,25166666.666666668,5500000,40000000
RedPeter Film,130245845,65122922.5,42698327,87547518,2,25500000,12750000.0,8500000,17000000
Material,130173332,43391110.666666664,6808550,77885672,3,170000000,56666666.666666664,35000000,85000000
M.G. Films,130126277,130126277.0,130126277,130126277,1,17000000,17000000.0,17000000,17000000
Prime Focus Ltd.,130063701,65031850.5,1675381,128388320,2,153000000,76500000.0,3000000,150000000
Kinology,129877502,18553928.85714286,5274664,47355187,7,134487486,19212498.0,1300000,60000000
Easy There Tiger Productions,129720279,64860139.5,179780,129540499,2,40025000,20012500.0,25000,40000000
Twins Financing,129532104,43177368.0,27122040,67876281,3,60000000,20000000.0,15000000,25000000
Artémis Productions,129257182,18465311.714285713,276891,64191523,7,92161490,13165927.142857144,4900000,32400000
Degeto Film,129193847,32298461.75,674918,92181574,4,61539750,15384937.5,2000000,27000000
Peter Frankfurt Productions,128905366,128905366.0,128905366,128905366,1,65000000,65000000.0,65000000,65000000
Clipsal Films,128884132,128884132.0,128884132,128884132,1,65000000,65000000.0,65000000,65000000
Globo Filmes,128610943,25722188.6,285930,39273021,5,10062241,2012448.2,762241,3300000
Failure to Launch Productions,128406887,128406887.0,128406887,128406887,1,50000000,50000000.0,50000000,50000000
Les Productions du Ch'timi,128398750,64199375.0,34598750,93800000,2,60400000,30200000.0,28000000,32400000
ORF,128181574,64090787.0,36000000,92181574,2,27070798,13535399.0,8731048,18339750
Little Stranger,128094387,64047193.5,23083334,105011053,2,65000000,32500000.0,30000000,35000000
Katharina,128027976,128027976.0,128027976,128027976,1,58500000,58500000.0,58500000,58500000
Mosaic,127956400,42652133.333333336,37713879,49779728,3,114000000,38000000.0,20000000,52000000
Blackfriars Bridge Films,127951851,63975925.5,29541790,98410061,2,29500000,14750000.0,6500000,23000000
Evil Twins,127944208,127944208.0,127944208,127944208,1,53000000,53000000.0,53000000,53000000
The Film Department,127944208,127944208.0,127944208,127944208,1,53000000,53000000.0,53000000,53000000
Alphaville Productions,127933854,63966927.0,7993039,119940815,2,129000000,64500000.0,60000000,69000000
J&J Project,127906624,127906624.0,127906624,127906624,1,55000000,55000000.0,55000000,55000000
Gambit Pictures,127869379,127869379.0,127869379,127869379,1,50200000,50200000.0,50200000,50200000
Canal Plus Image International,127666415,127666415.0,127666415,127666415,1,62000000,62000000.0,62000000,62000000
Square Peg,127602481,42534160.333333336,10000000,69633110,3,114000000,38000000.0,9000000,70000000
First Knight Productions,127600435,127600435.0,127600435,127600435,1,55000000,55000000.0,55000000,55000000
Pathe,127538625,42512875.0,74918,100129872,3,49900000,16633333.333333334,2900000,35000000
Recorded Picture Company,127520507,10626708.916666666,523511,43984230,12,152117946,12676495.5,4317946,25000000
Shanghai RuYi Entertainment,127420861,127420861.0,127420861,127420861,1,100000000,100000000.0,100000000,100000000
APC,127392693,127392693.0,127392693,127392693,1,8000000,8000000.0,8000000,8000000
L'Institut Polare Français Paul-Émile Victor,127392693,127392693.0,127392693,127392693,1,8000000,8000000.0,8000000,8000000
Bonne Pioche,127392693,127392693.0,127392693,127392693,1,8000000,8000000.0,8000000,8000000
The Walt Disney Company France,127392693,127392693.0,127392693,127392693,1,8000000,8000000.0,8000000,8000000
MBC Beteiligungs Filmproduktion,127369981,127369981.0,127369981,127369981,1,30000000,30000000.0,30000000,30000000
Taodue Film,127359426,63679713.0,52186426,75173000,2,31089000,15544500.0,11089000,20000000
Beta Cinema,127284237,63642118.5,57284237,70000000,2,38000000,19000000.0,2000000,36000000
SCOPE Invest,127199023,42399674.333333336,10435322,93800000,3,58540770,19513590.0,14500000,28000000
Kadokawa Shoten,127187031,25437406.2,1686839,70700000,5,46200000,9240000.0,1200000,20000000
HandMade Films,127160417,31790104.25,20745728,42365581,4,28350000,7087500.0,1350000,18000000
Living Films,127090051,31772512.75,14880939,54418872,4,120000000,30000000.0,5000000,50000000
Stone Group Pictures,126875917,63437958.5,30102717,96773200,2,40000000,20000000.0,15000000,25000000
Tequila Gang,126833459,42277819.666666664,6582065,83258226,3,48500000,16166666.666666666,4500000,25000000
Evergreen Films,126546518,126546518.0,126546518,126546518,1,80000000,80000000.0,80000000,80000000
BBC Earth,126546518,126546518.0,126546518,126546518,1,80000000,80000000.0,80000000,80000000
Evergreen MD,126546518,126546518.0,126546518,126546518,1,80000000,80000000.0,80000000,80000000
Prufrock Pictures,126084439,63042219.5,31355910,94728529,2,85000000,42500000.0,35000000,50000000
Unique Features,126054960,63027480.0,30658387,95396573,2,70000000,35000000.0,10000000,60000000
Telefónica Studios,125798529,13977614.333333334,6399,34156960,9,106880837,11875648.555555556,3500000,25000000
ME2 Productions,125729635,125729635.0,125729635,125729635,1,40000000,40000000.0,40000000,40000000
Digital Domain,125537191,125537191.0,125537191,125537191,1,110000000,110000000.0,110000000,110000000
Taleswapper,125537191,125537191.0,125537191,125537191,1,110000000,110000000.0,110000000,110000000
Chartoff Productions,125537191,125537191.0,125537191,125537191,1,110000000,110000000.0,110000000,110000000
Nomura Babcock & Brown,125527083,41842361.0,16478900,88036683,3,78700000,26233333.333333332,11700000,50000000
Vesuvius Productions,125479266,125479266.0,125479266,125479266,1,4800000,4800000.0,4800000,4800000
Elcajo Productions,125212904,125212904.0,125212904,125212904,1,15000000,15000000.0,15000000,15000000
avex pictures,125002821,125002821.0,125002821,125002821,1,1000000,1000000.0,1000000,1000000
20th Century Fox Japan,125002821,125002821.0,125002821,125002821,1,1000000,1000000.0,1000000,1000000
Bird Studios,125002821,125002821.0,125002821,125002821,1,1000000,1000000.0,1000000,1000000
YOMIKO Advertising,125002821,125002821.0,125002821,125002821,1,1000000,1000000.0,1000000,1000000
RISINGPRODUCTION,125002821,125002821.0,125002821,125002821,1,1000000,1000000.0,1000000,1000000
Chambara Pictures,124987524,62493762.0,47709193,77278331,2,35000000,17500000.0,10000000,25000000
Capella International,124929007,31232251.75,10571408,67711748,4,124500000,31125000.0,10000000,76000000
Stable Way Entertainment,124847711,41615903.666666664,29007412,49050886,3,42468389,14156129.666666666,9000000,21000000
Parabolic Pictures,124847711,41615903.666666664,29007412,49050886,3,42468389,14156129.666666666,9000000,21000000
about Film,124652206,124652206.0,124652206,124652206,1,8120000,8120000.0,8120000,8120000
Haegrimm Pictures,124652206,124652206.0,124652206,124652206,1,8120000,8120000.0,8120000,8120000
Sherwood Productions,124600000,124600000.0,124600000,124600000,1,12000000,12000000.0,12000000,12000000
TMC,124571710,41523903.333333336,2842040,72629670,3,71749400,23916466.666666668,13749400,33000000
Star Partners,123471792,41157264.0,16118077,80640528,3,62000000,20666666.666666668,15000000,25000000
Nanny McPhee Productions,123276807,123276807.0,123276807,123276807,1,25000000,25000000.0,25000000,25000000
Loull Productions,123205624,123205624.0,123205624,123205624,1,38000000,38000000.0,38000000,38000000
Redbus Pictures,123017517,41005839.0,29612137,54600000,3,61000000,20333333.333333332,7000000,40000000
Motion Picture Associates,122700000,122700000.0,122700000,122700000,1,13000000,13000000.0,13000000,13000000
Samuels Media,122533625,61266812.5,29541790,92991835,2,48000000,24000000.0,23000000,25000000
Top Shelf Productions,122444772,122444772.0,122444772,122444772,1,80000000,80000000.0,80000000,80000000
Orly Films,122268287,30567071.75,14204632,58401898,4,54150000,13537500.0,150000,38000000
8:38 Productions,122126687,122126687.0,122126687,122126687,1,46000000,46000000.0,46000000,46000000
Celluloid Dreams,121950518,11086410.727272727,1432799,34196922,11,98413400,8946672.727272727,1100000,20000000
Visualizer Film Company,121545703,121545703.0,121545703,121545703,1,65000000,65000000.0,65000000,65000000
China Film & TV Capital,121545703,121545703.0,121545703,121545703,1,65000000,65000000.0,65000000,65000000
Tencent Video,121545703,121545703.0,121545703,121545703,1,65000000,65000000.0,65000000,65000000
Home Media & Entertainment Fund,121545703,121545703.0,121545703,121545703,1,65000000,65000000.0,65000000,65000000
Sandcastle 5,121518879,40506293.0,10920544,87754044,3,52800000,17600000.0,10000000,23000000
Big Bug Pictures,121214377,121214377.0,121214377,121214377,1,105000000,105000000.0,105000000,105000000
Vie Vision Pictures,121059225,121059225.0,121059225,121059225,1,80000000,80000000.0,80000000,80000000
Winking Productions,120455994,120455994.0,120455994,120455994,1,40000000,40000000.0,40000000,40000000
Agencja Produkcji Filmowej,120072577,120072577.0,120072577,120072577,1,35000000,35000000.0,35000000,35000000
Heritage Films,120072577,120072577.0,120072577,120072577,1,35000000,35000000.0,35000000,35000000
11:11 Mediaworks,119975084,119975084.0,119975084,119975084,1,25000000,25000000.0,25000000,25000000
John Wells Productions,119815710,19969285.0,726936,58072119,6,108100000,18016666.666666668,4600000,60000000
Shaft Productions,119747743,59873871.5,12121618,107626125,2,50000000,25000000.0,4000000,46000000
Elemental Films,119723856,119723856.0,119723856,119723856,1,4000000,4000000.0,4000000,4000000
Art Pictures Studio,119688417,39896139.0,19454845,68129518,3,43846466,14615488.666666666,5027266,30000000
Delphi V Productions,119594746,19932457.666666668,591366,39321715,6,82500000,13750000.0,5000000,25000000
Blue Star Pictures,119583111,39861037.0,22035509,55060212,3,96000000,32000000.0,16000000,45000000
Electric Shadow Productions,119418501,119418501.0,119418501,119418501,1,11000000,11000000.0,11000000,11000000
Fried Green Tomatoes Productions,119418501,119418501.0,119418501,119418501,1,11000000,11000000.0,11000000,11000000
Monarch Pictures,119277373,59638686.5,55495563,63781810,2,92000000,46000000.0,42000000,50000000
J.K. Livin Productions,119269486,119269486.0,119269486,119269486,1,130000000,130000000.0,130000000,130000000
Moguletta,119269486,119269486.0,119269486,119269486,1,130000000,130000000.0,130000000,130000000
Desertlands Entertainment,119269486,119269486.0,119269486,119269486,1,130000000,130000000.0,130000000,130000000
Unfaithful Filmproduktion GmbH & Co. KG,119137784,119137784.0,119137784,119137784,1,50000000,50000000.0,50000000,50000000
Weimaraner Republic Pictures,119100758,119100758.0,119100758,119100758,1,17000000,17000000.0,17000000,17000000
Matinee Pictures,118890272,118890272.0,118890272,118890272,1,25000000,25000000.0,25000000,25000000
Tiger Productions,118880016,118880016.0,118880016,118880016,1,80000000,80000000.0,80000000,80000000
RTBF,118843758,9141827.538461538,276891,25762027,13,106400000,8184615.384615385,1000000,30000000
Zucker/Netter Productions,118837138,59418569.0,21000000,97837138,2,28000000,14000000.0,13000000,15000000
MID Foundation,118723290,59361645.0,24748670,93974620,2,77500000,38750000.0,27500000,50000000
Dentsu Entertainment,118587880,118587880.0,118587880,118587880,1,10000000,10000000.0,10000000,10000000
AZ Celtic Films,118477321,59238660.5,37846713,80630608,2,80000000,40000000.0,30000000,50000000
Will Vinton Studios,118133252,118133252.0,118133252,118133252,1,40000000,40000000.0,40000000,40000000
Tim Burton Animation Company,118133252,118133252.0,118133252,118133252,1,40000000,40000000.0,40000000,40000000
Anka Film,117770318,58885159.0,17804565,99965753,2,27800000,13900000.0,3800000,24000000
Raw Nerve,117708009,58854004.5,35728183,81979826,2,15000000,7500000.0,4800000,10200000
Seven Arts Pictures,117609316,39203105.333333336,1309316,71000000,3,66900000,22300000.0,1500000,60000000
EOS Entertainment,117527722,58763861.0,25346148,92181574,2,38339750,19169875.0,18339750,20000000
Black and Blu Entertainment,117487473,117487473.0,117487473,117487473,1,65000000,65000000.0,65000000,65000000
Finestkind,117487473,117487473.0,117487473,117487473,1,65000000,65000000.0,65000000,65000000
Flashpoint Entertainment,117094902,117094902.0,117094902,117094902,1,38000000,38000000.0,38000000,38000000
Wayfare Entertainment,116890611,38963537.0,1790061,108609310,3,50000000,16666666.666666666,8000000,30000000
Topic Studios,116794514,38931504.666666664,5078400,98690254,3,46500000,15500000.0,4500000,22000000
Windy Hill Pictures,116772594,58386297.0,850419,115922175,2,26500000,13250000.0,1500000,25000000
Sofica EuropaCorp,116730611,58365305.5,8786375,107944236,2,101000000,50500000.0,15000000,86000000
WTC Productions,116643421,116643421.0,116643421,116643421,1,30000000,30000000.0,30000000,30000000
Yannix Technology Corporation,116643421,116643421.0,116643421,116643421,1,30000000,30000000.0,30000000,30000000
Ministerio de Cultura España,116574067,58287033.5,30991660,85582407,2,30899867,15449933.5,12899867,18000000
Outerbanks Entertainment,116526321,58263160.5,19294901,97231420,2,75000000,37500000.0,35000000,40000000
Revolution Films,116519119,19419853.166666668,409144,90247624,6,87000000,14500000.0,1000000,38000000
Omation,116476887,116476887.0,116476887,116476887,1,51000000,51000000.0,51000000,51000000
Abraham Productions,116471580,116471580.0,116471580,116471580,1,69000000,69000000.0,69000000,69000000
Turman-Foster Company,116446103,38815367.666666664,2600000,94216343,3,62700000,20900000.0,2700000,45000000
Syalis DA,116112375,116112375.0,116112375,116112375,1,50000000,50000000.0,50000000,50000000
Salamander Pictures,115922175,115922175.0,115922175,115922175,1,25000000,25000000.0,25000000,25000000
Pam Williams Productions,115922175,115922175.0,115922175,115922175,1,25000000,25000000.0,25000000,25000000
Follow Through Productions,115922175,115922175.0,115922175,115922175,1,25000000,25000000.0,25000000,25000000
Primal Foe Productions,115772733,115772733.0,115772733,115772733,1,105000000,105000000.0,105000000,105000000
Storefront Pictures,115607899,57803949.5,23006849,92601050,2,40000000,20000000.0,12000000,28000000
Belga Productions,115527913,14440989.125,2602149,46372519,8,203176235,25397029.375,8700000,66190000
Biride Productions,115375850,115375850.0,115375850,115375850,1,30000000,30000000.0,30000000,30000000
Hammer & Tongs,115349865,57674932.5,10871449,104478416,2,54913400,27456700.0,4913400,50000000
Hemdale Film,115268129,28817032.25,1145404,78371200,4,19600000,4900000.0,3700000,6400000
Imagi Animation Studios,115160062,57580031.0,19551067,95608995,2,44000000,22000000.0,10000000,34000000
Michael White Productions,114833225,57416612.5,1940906,112892319,2,1600000,800000.0,400000,1200000
Sound for Film,114830111,114830111.0,114830111,114830111,1,40000000,40000000.0,40000000,40000000
Tabbak,114754811,38251603.666666664,21500000,50336279,3,24200000,8066666.666666667,4200000,10000000
Pictures in Paradise,114735721,22947144.2,1594955,51417188,5,82000000,16400000.0,2000000,30000000
Mimran Schur Pictures,114673942,22934788.4,1561698,40462793,5,139000000,27800000.0,8000000,42000000
Motion Picture Production GmbH & Co. Erste KG,114660784,114660784.0,114660784,114660784,1,75000000,75000000.0,75000000,75000000
Wheelhouse Entertainment,114660784,114660784.0,114660784,114660784,1,75000000,75000000.0,75000000,75000000
Signature Entertainment,114572137,22914427.4,875386,64350171,5,148000000,29600000.0,14000000,40000000
Walrus & Associates,114259666,57129833.0,7060876,107198790,2,53500000,26750000.0,13500000,40000000
The Ink Factory,114227639,22845527.8,315132,39055536,5,91000000,18200000.0,10000000,40000000
Eketahuna LLC,114194847,114194847.0,114194847,114194847,1,12000000,12000000.0,12000000,12000000
Pendle Mountain Productions,114178613,114178613.0,114178613,114178613,1,95000000,95000000.0,95000000,95000000
Tokyo FM,114176807,28544201.75,14902587,49827298,4,35580000,8895000.0,2500000,12000000
Infinity Features Entertainment,114031008,57015504.0,49678401,64352607,2,68000000,34000000.0,30000000,38000000
Imaginarium Entertainment Group,114000000,114000000.0,114000000,114000000,1,3400000,3400000.0,3400000,3400000
Fortress Features,114000000,114000000.0,114000000,114000000,1,3400000,3400000.0,3400000,3400000
CP Medien AG,113579918,113579918.0,113579918,113579918,1,68000000,68000000.0,68000000,68000000
New Crime Productions,113202692,37734230.666666664,1296184,64780213,3,71000000,23666666.666666668,5000000,36000000
Gone North Productions,113086475,113086475.0,113086475,113086475,1,37000000,37000000.0,37000000,37000000
Vertigo Productions,113080982,37693660.666666664,29456000,42700000,3,42056629,14018876.333333334,4000000,25496629
Art Service,112790210,112790210.0,112790210,112790210,1,18300000,18300000.0,18300000,18300000
Da Vinci Media Ventures,112779541,37593180.333333336,5090852,58834384,3,63000000,21000000.0,15000000,28000000
Weinstock Productions,112664696,37554898.666666664,2711379,91354215,3,36000000,12000000.0,6000000,20000000
Defender Films,112647839,37549279.666666664,6263224,82468705,3,18100000,6033333.333333333,1600000,14000000
Essential Media and Entertainment,112544580,112544580.0,112544580,112544580,1,35000000,35000000.0,35000000,35000000
SKA Films,112512705,37504235.0,598645,83557872,3,21350000,7116666.666666667,1350000,10000000
CD2 Films,112483764,112483764.0,112483764,112483764,1,85000000,85000000.0,85000000,85000000
Polymorphic Pictures,112483764,112483764.0,112483764,112483764,1,85000000,85000000.0,85000000,85000000
Big Stone Pictures,112156811,112156811.0,112156811,112156811,1,9500000,9500000.0,9500000,9500000
Pathaan Productions,112000000,112000000.0,112000000,112000000,1,63000000,63000000.0,63000000,63000000
Bregman/Baer Productions,111911757,55955878.5,48063435,63848322,2,55000000,27500000.0,25000000,30000000
Carlo Ponti Production,111858363,111858363.0,111858363,111858363,1,11000000,11000000.0,11000000,11000000
Scarlet Films,111574899,55787449.5,15656193,95918706,2,19000000,9500000.0,4000000,15000000
Zucker Productions,111305487,55652743.5,25806953,85498534,2,70000000,35000000.0,22000000,48000000
Bernie Goldmann Productions,111231041,111231041.0,111231041,111231041,1,70000000,70000000.0,70000000,70000000
Halon Entertainment,111202881,111202881.0,111202881,111202881,1,109000000,109000000.0,109000000,109000000
Welle Entertainment,111148158,55574079.0,13897255,97250903,2,80000000,40000000.0,30000000,50000000
Enigma Productions,110891218,36963739.333333336,17218023,58972904,3,44400000,14800000.0,5500000,24500000
Trademark Films,110470327,27617581.75,12195626,42187665,4,40900000,10225000.0,5500000,23000000
Blue Sky Films,110447137,55223568.5,27979040,82468097,2,60000000,30000000.0,25000000,35000000
Barwood Films,110400000,55200000.0,30400000,80000000,2,18000000,9000000.0,6000000,12000000
Chester Films Inc.,110317580,110317580.0,110317580,110317580,1,65000000,65000000.0,65000000,65000000
Junction,110317580,110317580.0,110317580,110317580,1,65000000,65000000.0,65000000,65000000
Specialty Films,110206216,110206216.0,110206216,110206216,1,50000000,50000000.0,50000000,50000000
Mediaset Premium,110173000,55086500.0,35000000,75173000,2,17089000,8544500.0,6000000,11089000
Macari/Edelstein,110061258,36687086.0,170255,83080890,3,61000000,20333333.333333332,6000000,30000000
Isle of Man Film,110039037,12226559.666666666,867714,35078241,9,149869000,16652111.111111112,169000,40000000
ContentFilm,109928428,18321404.666666668,742898,65664721,6,76500000,12750000.0,3000000,55000000
Vaaraahi Chalana Chitram,109860749,54930374.5,19450000,90410749,2,18990000,9495000.0,5990000,13000000
Star Studios,109847055,21969411.0,1632440,42345360,5,29782143,5956428.6,2900000,12000000
Cinema Group Ventures,109670102,54835051.0,19265302,90404800,2,33000000,16500000.0,15000000,18000000
Sideways Productions Inc.,109502303,109502303.0,109502303,109502303,1,16000000,16000000.0,16000000,16000000
M-Venture Investment,109457303,54728651.5,20967660,88489643,2,21400000,10700000.0,10400000,11000000
Qwerty Films,109283379,27320844.75,24084,48902953,4,68359769,17089942.25,10600000,29000000
Arts Council of England,109280263,109280263.0,109280263,109280263,1,5000000,5000000.0,5000000,5000000
BBC Studios Natural History Unit,109000000,109000000.0,109000000,109000000,1,15000000,15000000.0,15000000,15000000
Artistic Films,108961677,108961677.0,108961677,108961677,1,50000000,50000000.0,50000000,50000000
Mitteldeutsche Medienförderung (MDM),108902486,108902486.0,108902486,108902486,1,32000000,32000000.0,32000000,32000000
Treehouse Pictures,108805108,27201277.0,6108720,45640143,4,38000000,9500000.0,8000000,12000000
Sanctum Australia,108609310,108609310.0,108609310,108609310,1,30000000,30000000.0,30000000,30000000
Great Wight Productions/ Osford Films,108609310,108609310.0,108609310,108609310,1,30000000,30000000.0,30000000,30000000
herbX Film,108341401,54170700.5,32000000,76341401,2,20000000,10000000.0,9000000,11000000
Junger Witt Productions,108000000,108000000.0,108000000,108000000,1,75000000,75000000.0,75000000,75000000
Coast Ridge,108000000,108000000.0,108000000,108000000,1,75000000,75000000.0,75000000,75000000
